State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Annual_Rainfall_mm,Yield
Andhra Pradesh,ANDH_D1,2005,Kharif,Arhar/Tur,1106.6,1046.2,883.5,0.945
Andhra Pradesh,ANDH_D1,2005,Whole Year,Sugarcane,428.7,32517.4,883.5,75.851
Andhra Pradesh,ANDH_D1,2005,Rabi,Wheat,1290,3447.6,883.5,2.673
Andhra Pradesh,ANDH_D1,2006,Kharif,Arhar/Tur,1813.6,2377,1148.6,1.311
Andhra Pradesh,ANDH_D1,2006,Rabi,Maize,632.2,1512,1148.6,2.392
Andhra Pradesh,ANDH_D1,2006,Rabi,Wheat,694.1,1487.1,1148.6,2.142
Andhra Pradesh,ANDH_D1,2007,Kharif,Arhar/Tur,470.4,478.7,859.3,1.018
Andhra Pradesh,ANDH_D1,2007,Kharif,Bajra,840.1,1347.7,859.3,1.604
Andhra Pradesh,ANDH_D1,2007,Kharif,Cotton(Lint),455.7,267.7,859.3,0.587
Andhra Pradesh,ANDH_D1,2007,Kharif,Maize,535.6,827.4,859.3,1.545
Andhra Pradesh,ANDH_D1,2007,Rabi,Wheat,629.2,1370.7,859.3,2.178
Andhra Pradesh,ANDH_D1,2008,Kharif,Arhar/Tur,1513,1533.5,1146.8,1.014
Andhra Pradesh,ANDH_D1,2008,Kharif,Bajra,1070.1,1554.8,1146.8,1.453
Andhra Pradesh,ANDH_D1,2008,Rabi,Groundnut,987.8,1342.3,1146.8,1.359
Andhra Pradesh,ANDH_D1,2008,Rabi,Maize,1013.2,2149.7,1146.8,2.122
Andhra Pradesh,ANDH_D1,2008,Rabi,Wheat,343.6,906.7,1146.8,2.639
Andhra Pradesh,ANDH_D1,2009,Kharif,Arhar/Tur,685.3,580.3,993.1,0.847
Andhra Pradesh,ANDH_D1,2009,Kharif,Bajra,699.9,1018.7,993.1,1.455
Andhra Pradesh,ANDH_D1,2009,Rabi,Groundnut,990.2,1838.3,993.1,1.856
Andhra Pradesh,ANDH_D1,2009,Rabi,Jowar,314.2,469.7,993.1,1.495
Andhra Pradesh,ANDH_D1,2010,Kharif,Groundnut,1277.9,1993.4,992.6,1.56
Andhra Pradesh,ANDH_D1,2010,Kharif,Jowar,594.6,737.4,992.6,1.24
Andhra Pradesh,ANDH_D1,2011,Kharif,Bajra,1246.9,2159.4,1049.5,1.732
Andhra Pradesh,ANDH_D1,2011,Kharif,Cotton(Lint),545.6,361.1,1049.5,0.662
Andhra Pradesh,ANDH_D1,2011,Whole Year,Sugarcane,259.3,21431.6,1049.5,82.652
Andhra Pradesh,ANDH_D1,2011,Rabi,Wheat,2238.6,7058.5,1049.5,3.153
Andhra Pradesh,ANDH_D1,2012,Kharif,Jowar,648.5,735.4,734,1.134
Andhra Pradesh,ANDH_D1,2012,Kharif,Maize,2615.3,7032.8,734,2.689
Andhra Pradesh,ANDH_D1,2012,Autumn,Rice,263.3,616.4,734,2.341
Andhra Pradesh,ANDH_D1,2013,Kharif,Arhar/Tur,1940.3,2167.2,1050.2,1.117
Andhra Pradesh,ANDH_D1,2013,Kharif,Cotton(Lint),554.2,334.4,1050.2,0.603
Andhra Pradesh,ANDH_D1,2013,Kharif,Soyabean,246.6,241.4,1050.2,0.979
Andhra Pradesh,ANDH_D1,2013,Rabi,Wheat,1694.4,3653.7,1050.2,2.156
Andhra Pradesh,ANDH_D1,2014,Kharif,Arhar/Tur,639.8,467.7,1040.6,0.731
Andhra Pradesh,ANDH_D1,2014,Kharif,Cotton(Lint),225.5,155.1,1040.6,0.688
Andhra Pradesh,ANDH_D1,2014,Autumn,Rice,1798.1,5590.5,1040.6,3.109
Andhra Pradesh,ANDH_D1,2014,Whole Year,Sugarcane,262.1,18749.4,1040.6,71.535
Andhra Pradesh,ANDH_D1,2015,Rabi,Groundnut,482.2,687.7,949.8,1.426
Andhra Pradesh,ANDH_D1,2015,Kharif,Jowar,404.3,419.2,949.8,1.037
Andhra Pradesh,ANDH_D2,2005,Kharif,Bajra,586.1,613.3,883.5,1.046
Andhra Pradesh,ANDH_D2,2005,Rabi,Jowar,921.2,746.7,883.5,0.811
Andhra Pradesh,ANDH_D2,2005,Kharif,Soyabean,931.3,865.5,883.5,0.929
Andhra Pradesh,ANDH_D2,2005,Whole Year,Sugarcane,280,17314.7,883.5,61.838
Andhra Pradesh,ANDH_D2,2005,Rabi,Wheat,415.5,1480.8,883.5,3.564
Andhra Pradesh,ANDH_D2,2006,Kharif,Bajra,51.4,49.1,1148.6,0.955
Andhra Pradesh,ANDH_D2,2006,Kharif,Jowar,2266.4,3544.9,1148.6,1.564
Andhra Pradesh,ANDH_D2,2006,Kharif,Soyabean,275.7,404.7,1148.6,1.468
Andhra Pradesh,ANDH_D2,2007,Kharif,Cotton(Lint),1072.2,686.9,859.3,0.641
Andhra Pradesh,ANDH_D2,2007,Autumn,Rice,277.6,672.3,859.3,2.422
Andhra Pradesh,ANDH_D2,2007,Whole Year,Sugarcane,257.9,19036.4,859.3,73.813
Andhra Pradesh,ANDH_D2,2008,Kharif,Bajra,533,466.5,1146.8,0.875
Andhra Pradesh,ANDH_D2,2008,Rabi,Groundnut,924.4,1763.8,1146.8,1.908
Andhra Pradesh,ANDH_D2,2008,Rabi,Wheat,372.5,863.3,1146.8,2.318
Andhra Pradesh,ANDH_D2,2009,Rabi,Groundnut,600.3,665.3,993.1,1.108
Andhra Pradesh,ANDH_D2,2009,Rabi,Jowar,494.8,724.4,993.1,1.464
Andhra Pradesh,ANDH_D2,2009,Whole Year,Sugarcane,2783,184846.1,993.1,66.42
Andhra Pradesh,ANDH_D2,2009,Rabi,Wheat,1695.2,5700.1,993.1,3.362
Andhra Pradesh,ANDH_D2,2010,Kharif,Cotton(Lint),1020.3,618.6,992.6,0.606
